,Hx,Nl,Nu,N
0,4.8,0.0,3.65,0.0
1,5.25,4.467411863620904,13.402235590862713,7.045002064185605
2,5.41,8.281674574924438,24.845023724773313,13.060003477710936
3,5.46,11.590538913790366,34.771616741371105,18.278003699997747
4,5.64,17.789746373436728,53.36923912031018,28.054006155729564
5,5.67,24.193141220597663,72.57942366179299,38.15200725641168
6,5.73,31.19198112131897,93.57594336395692,49.189011018926266
7,5.83,35.834157375169056,107.50247212550715,56.509612362403026
8,5.89,39.733264139320355,115.69059633022488,62.65841082569531
9,5.94,46.69658969097193,130.3135799886932,73.63940930592513
10,6.04,52.98723761920646,143.5239406379857,83.55961120187412
11,6.06,58.49537607048184,155.091031385664,92.24581429746318
12,6.09,68.11074595448213,175.2833081420646,107.40902349971158
13,6.09,71.86020043961867,183.15716256085136,113.32182388475314
14,6.11,79.35568795827302,198.89768635002548,125.14202910715622
15,6.2,85.95566349963936,212.7576349868948,135.55003327868428
16,6.24,102.84913016071835,248.23391497516067,162.19062768362664
17,6.25,107.96004900998018,258.96684455861055,170.2504249313671
18,6.26,118.78659699537445,279.63570889436323,187.32363314084853
19,6.26,125.68929885979168,292.81359427188704,198.20902951078654
20,6.29,130.82457114577582,302.61729590876587,206.30723154797025
21,6.29,134.97707410739974,310.54480156277515,212.85562977702142
22,6.3,145.28531026977254,325.5385996171356,225.2410338260577
23,6.31,159.38843830436088,346.0522403947187,242.18602192220357
24,6.31,167.3794155667619,357.67548004912015,251.78722629728037
25,6.33,174.3348531257599,367.79248013493543,260.14422386205126
26,6.34,185.51716017229427,384.0576540208037,273.5798290218611
27,6.35,197.0708250962944,400.8629848193494,287.46162277172226
28,6.42,214.8142119979767,426.6715475854327,308.7804024847715
29,6.43,228.1955812051039,446.13535734125406,324.85819326769564
30,6.43,237.76773326432496,460.0584876092119,336.359188103749
31,6.43,245.8454332528455,471.8078694106964,346.0645903247332
32,6.44,253.2103603184654,482.52049059705257,354.9135918476464
33,6.46,270.01660735309633,506.96594082924304,375.1063927102828
34,6.46,278.1575557904422,518.8073203744734,384.8877883002428
35,6.48,295.03253271497545,543.3527413556126,405.16316851431026
36,6.48,309.2302084721159,564.0039060932716,422.22175623383293
37,6.48,319.3348627616086,578.7015850598063,434.3625555112126
38,6.51,336.9517574524931,604.3261591556384,455.5293541175906
39,6.55,348.42885190702697,621.0201147258695,469.319148015331
40,6.56,365.4639879647055,643.7336294694409,489.7869603336792
41,6.57,380.28938776230245,663.5008291995701,507.59976203800807
42,6.57,390.6460592661763,677.3097245380686,520.043361423792
43,6.59,409.9524993789409,703.0516446884213,543.2401584100642
44,6.59,423.3453670865823,720.9088016319432,559.3317647063878
45,6.6,437.35213325982573,739.5844898629344,576.1609734811373
46,6.6,447.7853767889136,753.4954812350516,588.6965745882816
47,6.62,467.4573808495166,779.7248199825223,612.3325987253894
48,6.62,485.5828133981347,803.8920633806797,634.1104084439547
49,6.62,495.70577992242215,817.3893520797296,646.2732099750082
50,6.64,510.516195028732,837.1365722214762,664.0680074880073
51,6.65,520.9753988143176,851.0821772689235,676.6347999901562
52,6.67,531.9614512333429,865.7302471609572,689.8346041050631
53,6.68,542.0219996498066,879.1443117162422,701.9224099265505
54,6.69,555.9845677467467,896.5975218374173,717.6500079291455
55,6.7,567.5203153568084,911.0172063499946,730.644007300236
56,6.71,578.9997833144282,925.3665412970194,743.5746126206628
57,6.72,598.0118270280209,949.1315959390101,764.9899982903434
58,6.72,609.3075220741337,963.2512147466512,777.7135996802696
59,6.74,622.1225475450203,979.2699965852595,792.1485924122508
60,6.74,632.9777320996517,992.8389772785488,804.3759976957126
61,6.76,643.4676824254625,1005.9514151858123,816.1919989245768
62,6.77,663.0537768778327,1030.434033251275,838.254001977958
63,6.77,675.6704716032533,1046.2049016580506,852.4655926670922
64,6.78,686.5725257862417,1059.8324693867862,864.7457924413822
65,6.79,703.0281313970921,1080.4019764003492,883.281576699682
66,6.81,722.9164103790312,1105.262325127773,905.6839638980618
67,6.82,745.0351389778157,1132.9107358762535,930.5987553114281
68,6.82,756.6522045068689,1147.43206778757,943.6843521258704
69,6.83,766.4074268627994,1159.6260957324832,954.6727472817463
