# File: All_Surveys_v11-free-cla_m.detections-full
# 
# Creation time: 2021-03-02T16:40:53.000  +0100
# 
# Colors used
# 
# 0.90e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 0.60e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 
# Grid size:
# h_step:  0.1
# a_step:  0.2
# q_step:  0.2
# si_step: 0.001
# 
          a          e        i    ifree     Omega    Omfree     omega    omfree        tperi    cl      object       MPC  
  43.932301   0.113549     5.42    3.949    57.011   318.225   146.669   159.424    53218.946   cla       o3e15   K13GD8D  
  43.865613   0.099767    2.595    0.881    95.871    31.379   120.985    99.782    56797.205   cla       o3e16   K13GD7S  
  41.097734   0.034898    7.451    9.927   216.046   178.271   288.779   288.203    38169.437   cla       o3e17   K13GD6V  
  41.441841   0.048136   21.116   23.504   212.131   165.339   288.248   286.508    37078.442   cla       o3e18   K13GD7Z  
  43.237096    0.03949    1.171    0.966    56.759   210.091   171.768   297.261    59765.942   cla     o3e20PD   K01FI5K  
  45.685486   0.131261    2.848    1.198    90.464   352.858    69.726    73.871    43035.565   cla       o3e21   K13GD7Q  
  44.095032    0.06506    2.761    1.134    72.401   322.295   103.048   126.205     46930.59   cla       o3e22   K13GD7N  
  46.446625   0.118084   10.636   11.289   205.775   117.518   334.492   326.679    47161.113   cla     o3e23PD   K01FI5O  
  42.628182   0.043771    4.226    2.464    51.358   318.049   233.421   252.451    74671.818   cla       o3e24   K13GD7R  
  44.842049   0.074731    4.972    4.219    35.735   286.152   212.512   231.791     64701.44   cla       o3e25   K13GD7U  
     43.799   0.045284      3.9     2.32    63.412   321.236   185.788   202.699    65067.729   cla       o3e26   K13GD8A  
   44.15271   0.044212    2.822    1.347    65.606   309.381   121.499   150.481    48772.219   cla     o3e27PD   K04E95U  
  43.289122   0.058806    4.129    2.677    51.113   308.483   241.143   262.175    77212.193   cla       o3e28   K13GD7X  
  41.419708   0.091296   29.251   26.836    35.399   346.608   290.966    292.14    84741.207   cla       o3e29   K13GD7O  
  45.258061   0.057267    2.633    2.795   169.302   113.197    15.405   339.513    47718.231   cla     o3e30PD   K13EE9M  
  44.593403    0.10597    2.294    2.186    25.267   250.695   108.593   153.869    34984.304   cla       o3e31   K13GD7T  
  42.894224   0.050571    3.022    1.069    83.338    16.053   254.744   244.302    89382.086   cla       o3e32   K13GD8C  
   44.04499   0.018633    0.551    1.855   175.792   162.724   305.616   231.981    28267.082   cla     o3e34PD   K13GD8F  
  43.709752   0.025461    1.748      1.7   141.558   120.625   199.513   135.693    93059.736   cla       o3e35   K13GD7P  
  44.022671   0.016731    3.678    2.365    54.494   304.341   310.099   333.708    99734.989   cla       o3e36   K13HF6T  
  43.964762   0.046419    3.316    2.288    45.295   288.215   282.562   313.421    87786.414   cla     o3e37PD   K04H79J  
  42.976467   0.049984    2.787    3.772   182.558   134.163   188.511    158.22    99579.367   cla       o3e38   K13GD8B  
  44.166252   0.053074    3.069    2.538    31.552   269.099    56.597    91.761    18988.851   cla       o3e40   K13GD8E  
  43.792276   0.082918    3.196    1.528    69.798   326.153   290.509    308.92    97131.541   cla       o3e43   K13GD7V  
   47.45751   0.028111   24.608   25.348   215.196   119.268   140.702   137.374   101251.566   cla       o3e44   K13GD8G  
  44.101109   0.075583   22.461   21.477    32.467   301.813   102.683   106.632    35691.886   cla       o3e51   K13GD7M  
   42.36868   0.153994   12.112   10.283    40.856   324.766   356.122     2.075     7825.813   cla       o3e52   K13GD6T  
   44.88505    0.10112     5.31    4.428    39.925   292.133    213.66   230.976    66547.421   cla       o3e53   K13GD7Y  
  42.860653   0.062303    5.017    3.467    46.304   311.812   189.501   206.708    62031.568   cla       o3e54   K13GD7W  
  46.006337   0.147373    6.755    7.079   189.193   107.947   210.365   196.984    62366.624   cla       o3l18   K10RI8E  
   45.33427    0.12582     1.48    0.341   102.432   129.742   285.047   165.497    59960.597   cla       o3l19   K13SA0M  
  43.905171   0.083291    2.553    1.389   117.499    74.207   238.466    195.82    52567.883   cla       o3l21   K13SA0S  
  42.351739   0.082499    4.828     5.26   159.035    113.37   272.616   248.231    71127.891   cla       o3l22   K06QI1A  
  44.129262   0.076305     0.91    1.247   128.769   151.005    262.35   152.966    61729.825   cla       o3l23   K13SA1E  
  40.910282   0.062981   14.829     17.0   181.923   153.249   286.763   282.404    80219.204   cla       o3l24   K13SA0T  
  43.793337   0.060055    3.421    2.449   128.801    74.148   264.138     233.5    61855.519   cla       o3l25   K13SA0L  
  45.318204   0.091377    2.449    1.949    39.769   264.676   322.064     5.008    52456.841   cla       o3l26   K13U18E  
  42.519668   0.026077    2.115    1.127   103.738   104.722   247.932   174.225    51180.167   cla       o3l28   K06QI1E  
  42.475323   0.078725    12.99   13.968   185.551   121.383   112.562     104.5     37309.63   cla     o3l29PD   K13U17M  
  43.068708   0.046006    0.717    1.367   109.865   164.668   209.626    75.218    41956.527   cla       o3l31   K13U17E  
   43.78264    0.05958    0.793    1.058    71.769    190.02   252.081    48.645    43815.081   cla       o3l32   K13S99P  
  43.847996   0.050298    0.946    0.883    94.742   170.185   240.394    79.365    45854.873   cla       o3l33   K13U17P  
   43.28186   0.163357   27.029   26.372    13.635   288.533   266.056   270.008     35318.89   cla       o3l35   K13SA0Y  
  42.663873   0.013293     1.22    2.179   154.042   146.625   151.467    84.053    38177.666   cla       o3l36   K13SA0W  
  42.767599   0.016279    1.277     0.76    69.807   190.762     6.767   169.628    74436.797   cla       o3l37   K13SA0X  
  43.340606   0.021272    1.588    1.149    44.594   237.239   307.161     32.47    51293.138   cla       o3l38   K13SA1D  
  42.711972   0.027347    1.831    0.306    82.297    134.55    211.44    83.722    34430.822   cla       o3l40   K13U17L  
  43.757521   0.037532    2.328    0.853    65.937   296.743   263.594   307.768    44939.707   cla     o3l41PD   K06UW1O  
  44.967211   0.099039    2.724    1.261    71.249    313.52    12.582    39.463    73844.613   cla       o3l42   K13U18D  
   45.78505   0.097248    2.025    0.532    81.927   308.526   235.403    275.01    41674.995   cla       o3l43   K13U15L  
  42.793616   0.041911    2.941    3.239   155.861   116.837   118.328    80.786    28727.074   cla       o3l44   K13U18C  
  42.558074   0.036753    2.912    1.918    114.41     86.72   145.978   100.348    25158.391   cla       o3l45   K13U17S  
  46.611773   0.078935    2.471     0.99    82.107   321.878   327.011   350.812    65464.772   cla       o3l46   K13U15P  
  43.068025   0.033726      2.1    2.089   141.763   117.252    124.84    69.727    27335.424   cla       o3l47   K13SA0V  
  43.025667   0.026526    4.007     2.72    42.049   297.336   204.557   230.151    20308.352   cla       o3l48   K13U17T  
