# File: All_Surveys_v11-free-cla_m.detections-full
# 
# Creation time: 2021-03-02T16:40:53.000  +0100
# 
# Colors used
# 
# 0.90e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 0.60e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 
# Grid size:
# h_step:  0.1
# a_step:  0.2
# q_step:  0.2
# si_step: 0.001
# 
a e ifree Omfree omfree tperi object MPC
43.932301 0.113549 3.949 318.225 159.424 53218.946 o3e15 K13GD8D
43.865613 0.099767 0.881 31.379 99.782 56797.205 o3e16 K13GD7S
41.097734 0.034898 9.927 178.271 288.203 38169.437 o3e17 K13GD6V
41.441841 0.048136 23.504 165.339 286.508 37078.442 o3e18 K13GD7Z
43.237096 0.03949 0.966 210.091 297.261 59765.942 o3e20PD K01FI5K
45.685486 0.131261 1.198 352.858 73.871 43035.565 o3e21 K13GD7Q
44.095032 0.06506 1.134 322.295 126.205 46930.59 o3e22 K13GD7N
46.446625 0.118084 11.289 117.518 326.679 47161.113 o3e23PD K01FI5O
42.628182 0.043771 2.464 318.049 252.451 74671.818 o3e24 K13GD7R
44.842049 0.074731 4.219 286.152 231.791 64701.44 o3e25 K13GD7U
43.799 0.045284 2.32 321.236 202.699 65067.729 o3e26 K13GD8A
44.15271 0.044212 1.347 309.381 150.481 48772.219 o3e27PD K04E95U
43.289122 0.058806 2.677 308.483 262.175 77212.193 o3e28 K13GD7X
41.419708 0.091296 26.836 346.608 292.14 84741.207 o3e29 K13GD7O
45.258061 0.057267 2.795 113.197 339.513 47718.231 o3e30PD K13EE9M
44.593403 0.10597 2.186 250.695 153.869 34984.304 o3e31 K13GD7T
42.894224 0.050571 1.069 16.053 244.302 89382.086 o3e32 K13GD8C
44.04499 0.018633 1.855 162.724 231.981 28267.082 o3e34PD K13GD8F
43.709752 0.025461 1.7 120.625 135.693 93059.736 o3e35 K13GD7P
44.022671 0.016731 2.365 304.341 333.708 99734.989 o3e36 K13HF6T
43.964762 0.046419 2.288 288.215 313.421 87786.414 o3e37PD K04H79J
42.976467 0.049984 3.772 134.163 158.22 99579.367 o3e38 K13GD8B
44.166252 0.053074 2.538 269.099 91.761 18988.851 o3e40 K13GD8E
43.792276 0.082918 1.528 326.153 308.92 97131.541 o3e43 K13GD7V
47.45751 0.028111 25.348 119.268 137.374 101251.566 o3e44 K13GD8G
44.101109 0.075583 21.477 301.813 106.632 35691.886 o3e51 K13GD7M
42.36868 0.153994 10.283 324.766 2.075 7825.813 o3e52 K13GD6T
44.88505 0.10112 4.428 292.133 230.976 66547.421 o3e53 K13GD7Y
42.860653 0.062303 3.467 311.812 206.708 62031.568 o3e54 K13GD7W
46.006337 0.147373 7.079 107.947 196.984 62366.624 o3l18 K10RI8E
45.33427 0.12582 0.341 129.742 165.497 59960.597 o3l19 K13SA0M
43.905171 0.083291 1.389 74.207 195.82 52567.883 o3l21 K13SA0S
42.351739 0.082499 5.26 113.37 248.231 71127.891 o3l22 K06QI1A
44.129262 0.076305 1.247 151.005 152.966 61729.825 o3l23 K13SA1E
40.910282 0.062981 17.0 153.249 282.404 80219.204 o3l24 K13SA0T
43.793337 0.060055 2.449 74.148 233.5 61855.519 o3l25 K13SA0L
45.318204 0.091377 1.949 264.676 5.008 52456.841 o3l26 K13U18E
42.519668 0.026077 1.127 104.722 174.225 51180.167 o3l28 K06QI1E
42.475323 0.078725 13.968 121.383 104.5 37309.63 o3l29PD K13U17M
43.068708 0.046006 1.367 164.668 75.218 41956.527 o3l31 K13U17E
43.78264 0.05958 1.058 190.02 48.645 43815.081 o3l32 K13S99P
43.847996 0.050298 0.883 170.185 79.365 45854.873 o3l33 K13U17P
43.28186 0.163357 26.372 288.533 270.008 35318.89 o3l35 K13SA0Y
42.663873 0.013293 2.179 146.625 84.053 38177.666 o3l36 K13SA0W
42.767599 0.016279 0.76 190.762 169.628 74436.797 o3l37 K13SA0X
43.340606 0.021272 1.149 237.239 32.47 51293.138 o3l38 K13SA1D
42.711972 0.027347 0.306 134.55 83.722 34430.822 o3l40 K13U17L
43.757521 0.037532 0.853 296.743 307.768 44939.707 o3l41PD K06UW1O
44.967211 0.099039 1.261 313.52 39.463 73844.613 o3l42 K13U18D
45.78505 0.097248 0.532 308.526 275.01 41674.995 o3l43 K13U15L
42.793616 0.041911 3.239 116.837 80.786 28727.074 o3l44 K13U18C
42.558074 0.036753 1.918 86.72 100.348 25158.391 o3l45 K13U17S
46.611773 0.078935 0.99 321.878 350.812 65464.772 o3l46 K13U15P
43.068025 0.033726 2.089 117.252 69.727 27335.424 o3l47 K13SA0V
43.025667 0.026526 2.72 297.336 230.151 20308.352 o3l48 K13U17T
43.029581 0.018114 5.805 292.398 164.573 101932.659 o3l49 K13U18A
43.327117 0.049191 2.017 325.536 220.441 26743.408 o3l50 K13U15O
45.146339 0.032709 2.601 69.615 251.623 66955.018 o3l51 K13U18B
42.649699 0.040288 1.018 93.298 62.546 17725.849 o3l52 K13SA1C
46.554501 0.055949 1.599 112.707 159.855 55823.817 o3l53 K13SA1G
44.792857 0.110427 0.803 169.651 30.537 34021.265 o3l54 K13U18G
44.004084 0.09623 1.315 277.844 270.139 30242.385 o3l55 K13U16Y
43.520523 0.025253 1.517 301.849 129.769 96709.399 o3l56 K13U17N
42.442374 0.053352 1.265 215.277 252.619 103374.848 o3l58 K13SA1F
43.634246 0.025484 6.725 113.797 333.17 102482.929 o3l59 K13SA0N
44.814195 0.075279 1.939 86.38 286.095 81891.663 o3l60 K06QI1F
45.132794 0.054247 3.337 103.707 89.104 30140.134 o3l63 K13U15N
44.354805 0.073408 0.397 299.073 94.197 86446.199 o3l64 K13U16W
43.563163 0.043148 1.533 58.76 24.182 100940.164 o3l66 K13SA0J
44.323674 0.052819 3.853 278.42 248.603 21958.849 o3l67 K13U17Y
43.597529 0.057067 1.05 354.237 147.999 14004.843 o3l69 K13U18X
46.433013 0.196079 10.784 105.801 273.406 80535.054 o3l70 K13U18F
45.318574 0.013675 0.26 15.613 60.11 103142.806 o3l71 K13U17W
44.313547 0.071562 2.518 88.136 331.109 93958.644 o3l73 K13U17R
45.831656 0.144061 2.516 248.923 288.092 29509.158 o3l74 K13SA0O
43.635637 0.070078 7.593 292.089 175.763 4613.802 o3l75 K13SA0Z
44.150909 0.092835 2.266 297.997 202.113 15906.182 o3l76 K13S99Q
42.769012 0.113085 28.183 116.406 12.037 8822.522 o3l77 K13U15Q
46.296355 0.166151 8.001 281.591 124.917 93465.973 o3l79 K13SA0A
45.592876 0.180161 23.813 280.788 156.155 103383.404 o3l81 K13SA0R
44.012292 0.082314 0.908 126.97 8.092 12885.584 o3l84 K13U22R
46.199942 0.189472 10.079 3.555 183.875 66058.975 o3o21 K13J65R
40.569913 0.021489 16.204 178.876 38.795 56038.665 o3o22 K13J65S
41.277028 0.063823 14.636 153.474 329.459 39328.237 o3o23 K13J65P
42.412897 0.080485 10.683 115.222 105.224 69833.955 o3o24 K13J65O
44.259367 0.122052 7.243 53.248 42.98 43363.574 o3o26 K13J65Q
40.672061 0.01212 18.29 60.065 331.137 9800.602 o3o28 K13J65N
46.615519 0.197741 8.269 84.575 347.716 39384.122 o3o30 K13J65T
46.778968 0.123524 9.602 354.409 309.483 108533.545 o3o35 K13J65M
46.392265 0.128142 8.897 10.377 88.845 45436.076 o3o51 K13J67X
43.523588 0.127214 12.33 154.318 163.801 59668.449 o4h19 K14UM5K
46.342329 0.198921 9.075 137.411 181.434 63240.768 o4h20 K14UM5L
42.911075 0.09505 15.523 147.816 227.231 72808.782 o4h23 K14UM8J
42.712913 0.068616 4.106 201.576 61.007 45085.78 o4h25 K14UM9K
43.350637 0.05209 3.747 218.488 87.226 56541.649 o4h28 K14UM8Y
46.581802 0.142064 6.62 164.422 162.478 65512.493 o4h33 K14UM8L
42.917669 0.035165 7.909 166.083 196.671 70666.816 o4h34 K14UM9E
41.665957 0.049085 14.17 160.893 49.635 26164.927 o4h36 K14UM9Z
42.661959 0.09753 4.627 178.475 33.699 32192.791 o4h38 K14UM9L
43.966182 0.072799 8.503 260.609 125.552 78719.147 o4h41 K14UM9H
45.53717 0.112571 4.786 226.45 343.939 34038.331 o4h42 K14UM9C
43.531599 0.141153 4.091 207.109 223.488 89830.314 o4h44 K13P76S
43.361976 0.129642 4.364 236.044 320.057 30209.998 o4h45 K14UM5D
45.115039 0.119304 3.776 190.096 41.242 41080.041 o4h46 K14UN0C
42.081747 0.155023 6.262 276.319 261.08 19059.122 o4h48 K01RE3Y
42.444529 0.128638 4.078 236.597 222.763 94022.966 o4h49 K14UM8P
43.711338 0.066182 6.207 163.363 326.344 7290.497 o4h50 K14UM5E
44.952443 0.047482 5.946 246.459 161.05 89267.637 o4h51 K14UM8C
41.384951 0.096186 23.493 176.135 223.367 69807.196 o4h74 K14UM9J
45.873742 0.172973 23.662 280.795 50.475 64845.938 o4h75 K14UM8N
45.667084 0.175083 7.165 148.121 254.778 85866.395 o4h77 K14UM9P
43.771039 0.065164 7.398 251.466 183.639 94331.663 o4h78 K14UN1K
42.476876 0.130871 11.761 157.374 176.686 56111.018 o5c033 K15VH0E
40.07267 0.059611 28.6 221.769 1.746 57620.394 o5c035 K15VH0L
41.608197 0.103727 18.902 171.36 233.472 67748.475 o5c037 K15VH0N
43.474388 0.173241 3.504 136.578 254.362 71343.412 o5c041 K15VG9C
42.052179 0.075138 2.001 169.963 211.189 65276.566 o5c042 K15VH0G
45.261923 0.129496 6.57 126.642 205.185 60361.009 o5c044 K15VH0M
46.777527 0.153814 12.374 138.974 188.614 59949.296 o5c045 K15VG9Y
42.741828 0.055569 2.912 129.732 215.311 60615.972 o5c047 K15VG9D
43.798937 0.075032 0.545 197.399 123.062 55587.706 o5c048 K15VG9T
42.900078 0.060726 3.779 131.295 230.171 65178.257 o5c049 K15VG9J
40.675129 0.012353 30.5 195.347 76.365 28511.137 o5c050 K15VG9M
45.556838 0.096773 2.101 160.588 136.996 51527.312 o5c051PD K04VD1A
42.782497 0.02157 1.526 122.363 195.584 53460.412 o5c053 K15VG8Y
44.883549 0.079536 25.97 140.247 145.266 47595.413 o5c054 K15VG4B
42.508478 0.02783 0.718 216.822 58.364 39845.338 o5c055 K15VG9U
43.785841 0.049222 2.684 153.546 220.671 69760.241 o5c056PD K14Wo9D
43.870306 0.038939 0.552 53.485 288.305 62448.671 o5c057 K15VG9A
43.592476 0.052486 0.49 213.56 54.54 41461.132 o5c058 K15VH0C
43.481336 0.047683 1.986 129.676 132.639 39096.631 o5c059 K15VH0A
44.778813 0.062891 1.222 130.563 236.109 69443.833 o5c060 K15VH0H
45.648463 0.116027 2.255 29.929 223.074 41449.108 o5c061 K15VG9O
45.486742 0.060892 0.511 328.767 349.71 58137.305 o5c062 K15VG8V
42.502805 0.034279 4.078 7.099 216.589 27033.586 o5c063 K15VG9N
43.358884 0.045477 0.784 75.085 171.244 34641.468 o5c065 K15VH0K
42.878592 0.026925 1.248 79.92 352.166 85390.894 o5c066 K15VG9H
43.384209 0.041103 0.487 204.659 41.111 34208.187 o5c067 K15VG9S
42.671116 0.041502 0.763 107.679 115.735 27518.049 o5c068 K15VG8W
44.311039 0.033235 1.397 73.813 199.301 44185.878 o5c069 K15VG9E
46.070342 0.128313 4.36 340.43 44.807 74879.976 o5c070 K15VH0P
42.768624 0.021387 0.422 298.957 165.486 93239.985 o5c071 K15VH0F
43.789675 0.009394 1.651 64.007 301.391 68282.174 o5c072 K15VH0B
45.290384 0.035223 2.632 159.978 159.07 57967.728 o5c073 K15VG8T
46.57336 0.054506 1.15 77.254 225.458 54728.203 o5c074 K15VG9G
43.114349 0.02774 0.785 333.129 143.403 99270.474 o5c075 K15VG8X
44.353078 0.072326 1.597 139.772 270.67 81922.872 o5c076 K15VG8U
42.679916 0.057988 2.003 305.362 251.466 18429.82 o5c077 K15VG9P
42.858537 0.042749 2.771 354.623 140.532 102674.057 o5c078 K15VH0J
43.85437 0.03213 1.359 200.36 2.533 21353.402 o5c079 K15VG9Q
43.628314 0.035281 3.731 159.643 31.944 19203.466 o5c080 K03UT1V
43.831154 0.060249 1.591 39.705 167.302 25284.74 o5c081 K15VG9F
43.547398 0.043605 1.872 172.295 292.678 97114.119 o5c082 K15VG8Q
43.929882 0.039121 1.457 53.376 133.008 17202.36 o5c084 K15VH0O
45.493781 0.003942 1.164 268.283 176.334 97328.741 o5c085 K15VG8P
43.907061 0.059127 1.559 322.873 144.659 97326.884 o5c086 K15VG9X
44.40489 0.071256 0.281 251.572 306.5 22855.175 o5c087 K15VG8R
42.992489 0.079931 1.189 324.582 202.862 10271.926 o5c089 K15VG9V
43.801303 0.059868 1.328 85.104 72.641 9281.476 o5c090 K15VG9K
