Object                  Class  Epo  Mult M11    M11_s Grt     Grt_s  BV     BVs    BVd    VR     VRs    VRd    RI     RIs    RId   VJ     VJs    VJd    JH     JHs    JHd    HK     HKs    HKd      
1994ES2                 Class-c   1   1  7.503  0.130 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
1994EV3                 Class-c   4   1  7.043  0.177 30.400  7.250  1.065  0.110  0.045  0.588  0.156  0.095  0.800  0.126  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
1994TA                  Centaur   2   1 11.433  0.126 31.545  6.243  1.261  0.139  0.045  0.672  0.080  0.020  0.740  0.210  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
1995DB2                 Class-c   2   1  8.053  0.120 54.335  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
1995DC2                 Class-c   5   1  6.803  0.204 35.475  7.654 ------ ------ ------  0.770  0.160  0.000  0.580  0.160  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
1995FB21                Class-c   4   1  7.017  0.099 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
1995HM5                 Res-3:2   8   1  7.839  0.109  9.432  3.661  0.649  0.102  0.032  0.460  0.097  0.029  0.428  0.126  0.060 ------ ------ ------  1.180  0.470  0.000 ------ ------ ------
#                      - Ful+08 TAXO=BR 
1996KV1                 Class-h   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.430  0.256  0.000 ------ ------ ------
1996RQ20                Class-h   7   1  6.877  0.100 22.364  4.307  0.935  0.141  0.022  0.558  0.096  0.044  0.591  0.109  0.036 ------ ------ ------  0.380  0.226  0.000 ------ ------ ------
#                      - Ful+08 TAXO=IR-RR 
#                        RB07 FAMILY=2003EL61 IR colors inconsistent with family 
#
